# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	20166
#@/user_id	Mac
a 	啊	c=29 d=0.0857962 t=20166
a fan da 	阿凡達	c=2 d=9.84714e-18 t=20166
a li 	阿里	c=3 d=0.000860854 t=20166
a li yun 	阿里雲	c=2 d=0.0176116 t=20166
ai fa 	愛發	c=1 d=1.57045e-16 t=20166
an 	按	c=24 d=0.895834 t=20166
an dao li 	按道理	c=2 d=5.03046e-06 t=20166
an ji du 	按季度	c=1 d=5.86667e-21 t=20166
an li 	按理	c=0 d=0.000104891 t=20166
an li 	案例	c=7 d=7.81356e-10 t=20166
an li lai shuo 	按理來說	c=1 d=0.00105417 t=20166
an li shuo 	按理說	c=1 d=0.0112206 t=20166
an mo 	按摩	c=3 d=7.17434e-06 t=20166
an mo ju 	按摩局	c=1 d=7.96564e-31 t=20166
an mo ju 	按模具	c=1 d=7.92592e-31 t=20166
an na 	安娜	c=1 d=2.21166e-44 t=20166
an niu 	按鈕	c=1 d=6.95971e-31 t=20166
an pai 	安排	c=2 d=0.00617507 t=20166
an pai le 	安排了	c=1 d=0.0620385 t=20166
an quan 	安全	c=2 d=4.29531e-20 t=20166
an quan le mei 	安全了沒	c=1 d=2.34363e-20 t=20166
an tian 	按天	c=1 d=5.89608e-21 t=20166
an zhao 	按照	c=8 d=0.00335557 t=20166
an zhe ge 	按這個	c=1 d=7.15838e-11 t=20166
an zhe ge de hua 	按這個的話	c=1 d=8.44383e-11 t=20166
an zhuang 	安裝	c=18 d=2.77795 t=20166
an zhuang bao 	安裝包	c=1 d=1.49178e-29 t=20166
an zhuang wen dang 	安裝文檔	c=1 d=1.48949e-11 t=20166
an zhuo 	安卓	c=1 d=0.609571 t=20166
ang 	昂	c=0 d=0.00359725 t=20166
ang ang 	昂昂	c=0 d=1.403e-14 t=20166
ang gui 	昂貴	c=1 d=1.63905e-19 t=20166
ang ran 	盎然	c=1 d=1.08027e-26 t=20166
ao 	奧	c=13 d=0.0242393 t=20166
ao ao 	凹凹	c=1 d=3.62773e-13 t=20166
ao bo 	奧博	c=1 d=3.90615e-30 t=20166
ao men 	澳門	c=1 d=0.0471227 t=20166
app le 	App了	c=1 d=5.24841e-05 t=20166
ba 	叭	c=1 d=4.27706e-09 t=20166
ba 	吧	c=40 d=0.148102 t=20166
ba 	把	c=57 d=1.1048 t=20166
ba 	拔	c=1 d=0.19205 t=20166
ba cheng 	八成	c=0 d=0.00880368 t=20166
ba cheng shi 	八成是	c=1 d=0.0884781 t=20166
ba chu 	扒出	c=0 d=5.25288e-16 t=20166
ba chu lai 	扒出來	c=1 d=5.27921e-15 t=20166
ba dai ma 	吧代碼	c=1 d=1.05489e-11 t=20166
ba quan 	霸權	c=1 d=6.03917e-09 t=20166
